Gender,Own_Car,Own_Realty,Children_Count,Annual_Income,Income_Type,Education_Level,Family_Status,Housing_Type,Age_Years,Employment_Years,Has_Work_Phone,Has_Phone,Has_Email,Family_Members,Overdue_Months,Target_Reject
M,Y,Y,1,196900.0,Commercial associate,Secondary,Married,House / apartment,31.5,1.1,0,0,1,3,0,0
M,Y,N,0,157200.0,Commercial associate,Secondary,Single,House / apartment,34.3,3.9,0,1,0,2,0,0
M,N,Y,0,118600.0,Working,Secondary,Single,House / apartment,39.8,13.3,0,1,1,2,0,0
F,Y,Y,2,103000.0,State servant,Secondary,Single,House / apartment,39.8,,1,0,0,3,0,0
M,N,Y,0,89300.0,Working,Secondary,Single,House / apartment,45.8,10.0,0,1,0,2,0,0
M,N,Y,0,81000.0,State servant,Secondary,Married,House / apartment,46.3,17.0,1,1,0,2,2,0
F,N,Y,0,108400.0,Working,Higher education,Single,House / apartment,53.4,16.6,0,0,0,2,1,0
M,N,N,0,83000.0,Working,Secondary,Married,House / apartment,23.4,23.4,0,1,1,2,0,0
F,Y,N,1,88300.0,Working,Secondary,Married,House / apartment,50.0,3.2,0,1,0,3,0,0
M,N,Y,1,74000.0,Working,Secondary,Separated,House / apartment,36.3,2.0,0,1,0,3,0,0
F,N,Y,1,68400.0,Commercial associate,Secondary,Married,House / apartment,47.2,6.0,0,1,0,3,2,1
F,N,Y,0,190600.0,Working,Secondary,Widow,House / apartment,43.7,1.3,0,1,1,2,1,0
M,N,Y,0,81300.0,Working,Secondary,Married,House / apartment,33.7,4.9,1,0,1,1,1,0
M,N,N,3,63400.0,Commercial associate,Lower secondary,Married,House / apartment,56.7,5.2,1,1,0,4,1,1
F,N,Y,1,84600.0,Commercial associate,Higher education,Married,Municipal apartment,48.4,9.9,0,1,0,2,1,0
F,N,N,0,42600.0,Pensioner,Higher education,Single,House / apartment,44.6,0.0,0,0,0,2,0,1
F,N,N,0,124600.0,Working,Secondary,Married,House / apartment,64.1,5.5,0,0,0,2,1,0
F,N,N,1,78400.0,Commercial associate,Secondary,Married,House / apartment,29.3,14.0,0,1,1,2,0,0
M,N,Y,1,66100.0,Commercial associate,Secondary,Married,With parents,40.3,3.3,0,1,1,3,0,0
M,Y,Y,0,62800.0,Working,Higher education,Single,House / apartment,46.2,5.1,0,1,0,1,0,0
M,N,Y,1,35400.0,Working,Secondary,Married,House / apartment,28.3,9.3,0,0,0,3,2,1
F,Y,N,0,194000.0,Working,Secondary,Civil marriage,House / apartment,32.7,1.7,0,1,1,1,1,0
F,N,Y,1,86000.0,Working,Secondary,Married,Co-op apartment,51.0,0.7,1,1,0,3,0,0
M,N,Y,0,192600.0,Working,Secondary,Married,House / apartment,34.5,6.9,0,1,1,1,1,0
M,N,N,0,68700.0,Working,Academic degree,Married,House / apartment,49.6,2.8,1,1,1,1,5,1
M,N,Y,0,98200.0,Commercial associate,Higher education,Widow,House / apartment,33.1,2.9,0,1,1,1,2,0
M,N,Y,0,112900.0,Commercial associate,Higher education,Married,House / apartment,62.2,16.0,0,1,1,2,1,0
F,Y,Y,1,99900.0,State servant,Secondary,Married,House / apartment,21.0,3.1,1,1,0,2,1,0
F,Y,Y,1,62400.0,Commercial associate,Higher education,Single,House / apartment,51.1,18.4,0,1,0,3,0,0
F,N,N,2,32300.0,Working,Secondary,Married,House / apartment,42.8,0.7,1,0,0,3,0,1
F,N,Y,0,241700.0,Pensioner,Incomplete higher,Single,House / apartment,23.2,0.0,0,1,0,1,0,0
M,Y,Y,1,54300.0,Pensioner,Secondary,Married,House / apartment,37.5,0.0,0,1,1,3,0,0
F,N,N,0,278000.0,Working,Secondary,Married,Rented apartment,21.0,0.8,1,1,1,1,1,0
F,Y,Y,2,,Commercial associate,Higher education,Married,Rented apartment,43.9,2.9,0,1,0,4,0,0
F,N,Y,0,155700.0,State servant,Secondary,Married,House / apartment,33.4,11.5,1,1,1,1,1,0
F,Y,Y,0,104700.0,Commercial associate,Higher education,Single,House / apartment,21.0,8.6,1,1,0,2,1,0
F,N,N,0,,Pensioner,Lower secondary,Single,House / apartment,41.8,0.0,0,1,0,1,0,0
F,Y,N,0,57100.0,Working,Secondary,Married,House / apartment,41.6,2.6,0,1,0,2,0,0
M,Y,Y,0,63800.0,Working,Secondary,Separated,House / apartment,63.2,4.2,1,0,0,2,1,0
M,N,Y,0,64200.0,Working,Secondary,Married,House / apartment,49.1,7.9,1,0,0,2,1,0
M,N,N,1,,Commercial associate,Higher education,Married,House / apartment,21.0,1.0,0,1,1,3,2,0
M,N,Y,0,70100.0,Pensioner,Secondary,Single,House / apartment,34.2,0.0,0,1,0,2,0,0
F,N,Y,1,59700.0,State servant,Secondary,Single,House / apartment,52.2,0.5,0,0,0,3,1,1
M,N,Y,1,48600.0,Working,Secondary,Married,House / apartment,22.1,3.0,0,1,0,3,0,1
F,N,N,1,51100.0,Working,Secondary,Single,House / apartment,31.5,1.3,1,1,0,2,1,1
F,N,N,0,95500.0,Pensioner,Higher education,Married,House / apartment,40.0,0.0,0,1,0,2,1,0
M,N,N,0,51500.0,Commercial associate,Secondary,Single,House / apartment,34.2,2.4,0,1,0,1,0,1
M,Y,N,0,42200.0,Working,Secondary,Civil marriage,House / apartment,57.5,8.8,1,1,1,1,2,1
F,Y,N,1,78500.0,Working,Higher education,Married,Co-op apartment,42.0,1.8,1,0,1,2,2,0
M,N,Y,1,24600.0,Pensioner,Secondary,Married,House / apartment,40.4,0.0,0,1,0,3,0,1
M,N,Y,1,72900.0,Pensioner,Secondary,Single,House / apartment,29.9,0.0,0,1,0,3,3,1
M,Y,N,1,76100.0,Working,Secondary,Single,House / apartment,27.9,9.8,1,0,1,2,0,0
M,Y,Y,1,96900.0,Working,Secondary,Married,House / apartment,41.1,2.3,1,0,1,2,1,0
F,Y,N,0,86700.0,State servant,Secondary,Married,House / apartment,39.1,31.4,0,0,0,2,0,0
F,N,N,2,38600.0,Commercial associate,Academic degree,Widow,House / apartment,26.6,2.1,0,0,0,4,0,0
F,Y,Y,0,66600.0,Working,Higher education,Married,Rented apartment,42.6,5.2,0,1,0,2,0,0
F,N,Y,0,101400.0,Working,Higher education,Married,House / apartment,40.6,6.0,0,0,0,2,2,0
F,N,Y,0,90100.0,Commercial associate,Incomplete higher,Married,House / apartment,36.6,4.6,0,1,0,2,1,0
M,N,Y,1,49500.0,Working,Secondary,Married,House / apartment,53.1,11.7,1,1,0,3,1,0
F,Y,N,1,90000.0,Working,Secondary,Separated,House / apartment,39.9,0.7,0,1,0,2,1,0
F,N,Y,0,115500.0,Commercial associate,Secondary,Single,House / apartment,37.4,5.5,0,0,0,2,1,0
F,N,N,1,44900.0,Working,Higher education,Married,House / apartment,52.4,4.2,0,0,0,2,0,0
F,Y,Y,0,27400.0,Commercial associate,Higher education,Single,House / apartment,38.3,3.2,0,0,1,1,1,0
M,N,N,0,177600.0,Working,Secondary,Single,House / apartment,35.6,2.5,1,0,1,1,0,0
M,N,Y,0,85600.0,Commercial associate,Secondary,Married,House / apartment,27.1,1.0,0,0,0,1,1,1
M,N,Y,0,58200.0,Working,Secondary,Married,House / apartment,40.7,6.3,0,1,1,2,1,0
M,Y,Y,0,57200.0,Working,Secondary,Single,With parents,50.3,0.8,0,1,1,1,1,0
F,Y,Y,1,78700.0,Working,Higher education,Married,House / apartment,35.4,10.6,1,0,0,3,0,0
F,N,N,1,123100.0,State servant,Secondary,Married,House / apartment,25.4,3.6,1,0,1,3,1,1
M,N,N,1,34400.0,Pensioner,Incomplete higher,Married,House / apartment,51.1,0.0,0,1,1,3,0,0
F,N,Y,2,,Working,Secondary,Widow,House / apartment,51.6,0.5,0,1,0,3,1,1
M,Y,Y,1,167200.0,Pensioner,Higher education,Married,House / apartment,46.4,0.0,1,0,0,3,0,0
M,Y,N,0,110400.0,Commercial associate,Incomplete higher,Widow,House / apartment,41.1,1.6,0,1,0,2,0,0
M,N,N,0,105800.0,State servant,Incomplete higher,Married,House / apartment,44.6,9.1,0,0,0,2,1,0
M,N,Y,0,89700.0,Working,Secondary,Single,House / apartment,22.9,4.0,0,1,0,2,2,1
F,N,Y,1,85400.0,Commercial associate,Secondary,Married,House / apartment,33.6,2.2,1,1,0,3,1,0
M,N,Y,0,57900.0,Working,Secondary,Married,House / apartment,47.4,11.4,0,0,0,2,1,0
F,Y,Y,1,55300.0,Working,Secondary,Married,House / apartment,43.7,1.3,0,1,1,2,4,1
F,N,Y,0,109400.0,State servant,Secondary,Married,House / apartment,49.9,1.8,0,1,1,1,0,0
M,Y,Y,1,55800.0,Commercial associate,Incomplete higher,Single,Municipal apartment,56.9,9.0,1,1,0,3,1,0
F,N,Y,2,84300.0,Working,Secondary,Single,House / apartment,26.4,0.2,1,0,0,4,0,0
F,N,Y,0,78900.0,Working,Secondary,Married,House / apartment,45.3,1.5,1,1,0,1,0,0
M,N,Y,0,218800.0,Commercial associate,Secondary,Separated,House / apartment,37.2,4.4,1,1,1,1,0,0
F,N,Y,0,67500.0,Commercial associate,Incomplete higher,Married,House / apartment,35.1,14.8,1,0,1,1,0,0
M,Y,Y,0,131200.0,Working,Lower secondary,Married,House / apartment,67.2,1.9,0,1,1,2,2,0
M,Y,Y,0,104200.0,State servant,Secondary,Married,House / apartment,22.7,1.4,0,1,0,2,0,0
M,N,Y,0,69000.0,Working,Secondary,Married,House / apartment,38.0,22.1,0,1,1,2,2,0
F,N,Y,0,39300.0,Working,Higher education,Single,Co-op apartment,37.4,4.5,0,1,1,2,0,0
F,N,N,0,71200.0,State servant,Higher education,Married,House / apartment,40.5,0.4,0,1,1,2,0,0
M,N,Y,0,114600.0,Working,Secondary,Married,House / apartment,21.0,1.9,1,1,1,2,1,0
M,N,N,2,39600.0,Working,Higher education,Married,House / apartment,29.2,4.6,1,1,0,3,3,1
F,Y,Y,0,111100.0,Commercial associate,Lower secondary,Married,House / apartment,40.5,0.4,1,1,0,2,0,0
M,Y,Y,0,143100.0,Pensioner,Secondary,Married,House / apartment,24.7,0.0,0,1,0,1,1,0
M,Y,Y,1,76700.0,Working,Secondary,Married,With parents,50.5,4.4,0,1,1,2,1,0
F,N,Y,1,115500.0,State servant,Secondary,Married,Municipal apartment,46.4,7.4,0,1,0,2,0,0
F,N,Y,2,78400.0,Pensioner,Secondary,Single,House / apartment,22.5,0.0,0,0,1,3,1,0
M,Y,Y,1,97300.0,Working,Secondary,Married,Municipal apartment,37.5,3.3,0,1,1,3,1,0
F,N,Y,0,154300.0,Commercial associate,Secondary,Married,House / apartment,44.1,15.8,0,1,0,1,0,0
F,Y,Y,0,33600.0,Working,Secondary,Married,House / apartment,24.9,1.4,0,0,1,2,0,1
M,Y,N,0,49900.0,Working,Secondary,Separated,House / apartment,22.6,0.2,0,1,0,2,0,0
F,N,Y,2,136700.0,Pensioner,Secondary,Married,House / apartment,29.5,0.0,1,1,0,4,1,0
M,N,N,0,149900.0,State servant,Secondary,Widow,House / apartment,69.6,0.0,0,0,0,1,1,0
F,N,Y,0,36200.0,Working,Secondary,Widow,House / apartment,52.0,13.1,1,1,1,2,1,0
F,N,Y,1,159700.0,Working,Secondary,Single,House / apartment,33.3,10.5,0,0,1,3,1,0
F,Y,N,2,20200.0,Working,Secondary,Married,House / apartment,25.4,4.0,1,1,0,3,2,1
M,N,Y,0,100000.0,Working,Secondary,Married,Municipal apartment,30.9,7.3,1,1,0,2,1,0
F,N,N,0,81600.0,Working,Higher education,Married,House / apartment,56.7,0.7,0,1,0,1,2,1
M,N,Y,0,50700.0,Working,Secondary,Separated,House / apartment,62.4,8.7,0,0,0,2,2,1
M,Y,Y,0,52300.0,Commercial associate,Academic degree,Single,House / apartment,31.1,9.2,0,0,0,2,1,0
M,Y,Y,1,53200.0,Working,,Widow,House / apartment,43.4,0.3,0,1,1,2,0,0
F,Y,Y,0,66000.0,Working,Secondary,Single,House / apartment,37.1,4.1,1,1,0,2,0,0
F,Y,Y,0,197400.0,Pensioner,Secondary,Married,House / apartment,54.0,0.0,0,0,1,1,3,0
M,N,Y,1,110400.0,Pensioner,Higher education,Married,House / apartment,28.0,0.0,0,1,0,3,1,0
F,Y,Y,1,149800.0,Working,Higher education,Married,House / apartment,50.8,25.0,0,1,0,2,0,0
M,N,Y,1,62300.0,Working,Incomplete higher,Married,House / apartment,25.3,6.4,0,0,0,3,2,0
F,N,Y,0,82100.0,Commercial associate,Academic degree,Single,House / apartment,50.4,0.9,0,0,1,2,2,0
M,N,N,0,42800.0,Working,Secondary,Separated,House / apartment,30.6,3.2,0,1,1,2,0,0
F,Y,Y,2,,Working,Secondary,Married,With parents,36.5,7.8,0,1,0,3,2,1
M,N,N,0,55500.0,Commercial associate,Secondary,Civil marriage,House / apartment,32.9,2.0,0,0,0,2,0,1
F,Y,Y,0,93400.0,Working,Secondary,Civil marriage,House / apartment,61.6,10.0,1,0,0,2,0,0
M,Y,Y,2,51400.0,Working,Secondary,Married,House / apartment,50.9,11.9,0,0,0,4,2,0
M,Y,Y,0,48100.0,Working,Higher education,Married,House / apartment,35.5,8.7,0,0,0,2,3,1
M,N,N,0,89200.0,Working,Incomplete higher,Single,House / apartment,30.9,2.5,1,1,1,2,3,1
F,Y,N,2,71200.0,Working,Secondary,Married,House / apartment,54.4,8.1,0,1,0,3,2,1
F,N,Y,1,51500.0,Student,Secondary,Married,House / apartment,21.0,0.5,0,0,1,3,0,1
M,Y,Y,2,47900.0,Working,Secondary,Married,House / apartment,45.3,2.4,0,1,0,4,2,0
F,N,Y,1,51500.0,Working,Higher education,Widow,House / apartment,29.4,8.7,0,1,0,2,2,0
F,N,N,2,109900.0,Working,Secondary,Married,House / apartment,64.8,9.5,0,1,1,3,0,0
F,N,Y,1,90100.0,State servant,Incomplete higher,Single,Rented apartment,70.0,2.3,0,1,1,2,1,0
F,Y,N,1,50100.0,Commercial associate,Higher education,Civil marriage,House / apartment,40.3,19.4,0,0,1,2,0,0
M,N,Y,1,51100.0,Working,,Single,House / apartment,36.0,1.9,0,1,1,3,3,1
M,N,N,0,41200.0,Pensioner,Secondary,Married,House / apartment,40.7,0.0,0,0,0,1,0,1
F,Y,Y,0,60100.0,Working,Secondary,Single,House / apartment,33.2,,0,1,1,1,2,0
F,N,N,0,77800.0,Working,Incomplete higher,Married,House / apartment,31.3,4.8,0,1,0,1,3,1
F,N,Y,1,47100.0,Working,Secondary,Married,House / apartment,42.6,3.2,1,1,1,2,1,0
M,N,Y,0,218300.0,Working,Academic degree,Widow,House / apartment,46.9,1.4,0,1,1,2,1,0
M,N,Y,0,99900.0,Working,Secondary,Married,House / apartment,41.5,1.3,0,0,1,2,0,0
F,Y,Y,0,72000.0,Commercial associate,Higher education,Single,House / apartment,43.2,1.0,0,0,1,2,2,0
F,Y,Y,0,76300.0,Working,Secondary,Married,House / apartment,33.0,3.5,0,1,0,1,0,0
F,N,N,1,36500.0,Commercial associate,Secondary,Married,House / apartment,29.7,4.8,0,1,0,3,0,0
F,Y,N,2,40200.0,Working,Higher education,Separated,House / apartment,29.6,11.0,1,1,0,4,1,1
F,N,Y,2,141700.0,Working,Higher education,Single,Rented apartment,48.5,1.5,0,1,1,4,0,0
M,N,Y,1,165600.0,Working,Higher education,Married,House / apartment,40.9,8.4,0,1,1,2,0,0
M,N,N,0,24200.0,State servant,Secondary,Widow,With parents,42.2,7.1,0,1,0,1,3,1
F,N,Y,1,92500.0,Working,Lower secondary,Single,House / apartment,43.8,6.0,0,1,0,2,1,0
F,N,N,0,145900.0,Commercial associate,Academic degree,Married,House / apartment,39.4,2.5,0,1,1,2,1,0
M,Y,Y,1,61600.0,Working,Secondary,Single,House / apartment,41.2,2.3,0,0,0,3,0,1
M,Y,N,0,156300.0,Working,Incomplete higher,Married,With parents,54.3,8.5,0,0,0,1,1,0
F,N,Y,1,107300.0,Working,Secondary,Married,House / apartment,48.5,1.9,0,0,1,2,1,0
M,N,Y,0,91600.0,Working,Higher education,Married,House / apartment,38.1,2.4,1,1,0,2,1,0
M,N,Y,2,64700.0,Working,Secondary,Married,House / apartment,34.8,20.1,0,0,1,3,0,0
F,N,N,0,76600.0,Working,Lower secondary,Married,House / apartment,51.3,38.9,0,1,0,2,1,0
F,N,Y,1,58500.0,Pensioner,Secondary,Civil marriage,House / apartment,43.7,0.0,0,1,1,3,0,1
F,N,N,0,84800.0,Working,Secondary,Single,House / apartment,36.6,7.0,0,0,0,2,1,1
M,Y,Y,0,83000.0,Commercial associate,Secondary,Married,House / apartment,25.8,4.6,0,0,1,1,0,0
F,N,N,1,58900.0,Working,Secondary,Separated,House / apartment,58.6,3.7,0,0,1,3,0,0
M,N,Y,0,27600.0,Working,Secondary,Married,With parents,27.6,1.9,0,0,1,2,2,1
M,N,Y,0,66300.0,Commercial associate,Secondary,Single,House / apartment,43.1,4.2,0,1,0,2,1,0
F,Y,N,0,44000.0,Working,Higher education,Married,House / apartment,60.1,3.7,0,1,1,1,1,1
F,N,N,0,,Working,Academic degree,Civil marriage,Rented apartment,36.2,3.1,1,1,1,1,2,1
F,N,N,0,51800.0,Commercial associate,Higher education,Separated,House / apartment,39.5,11.4,0,1,0,2,1,0
F,Y,N,2,110600.0,Pensioner,Higher education,Single,House / apartment,49.4,0.0,1,0,0,4,1,0
F,N,Y,0,42000.0,Working,Secondary,Separated,House / apartment,26.9,5.5,0,1,0,1,1,1
M,N,Y,0,46900.0,Working,Secondary,Married,House / apartment,21.6,12.0,0,1,0,1,2,1
M,N,Y,0,104100.0,Pensioner,Secondary,Civil marriage,House / apartment,36.1,0.0,0,1,0,1,0,0
M,N,Y,0,49900.0,Working,Secondary,Married,House / apartment,40.9,5.5,0,0,0,2,1,0
M,Y,Y,1,41600.0,Commercial associate,Incomplete higher,Married,House / apartment,40.8,4.4,0,0,0,2,1,1
F,N,N,3,109600.0,Working,Secondary,Single,House / apartment,55.6,11.0,0,0,1,5,0,0
M,Y,Y,0,68500.0,Working,Incomplete higher,Single,House / apartment,29.6,1.3,1,0,0,2,1,0
F,N,Y,0,75600.0,Commercial associate,Secondary,Married,House / apartment,38.4,6.0,0,0,1,2,1,0
F,Y,Y,0,65400.0,Commercial associate,Higher education,Married,House / apartment,56.6,0.4,0,1,0,1,0,0
F,Y,Y,1,90400.0,Working,Secondary,Married,House / apartment,36.9,6.5,1,1,1,2,1,0
F,Y,Y,0,103000.0,Working,Secondary,Married,House / apartment,61.9,9.5,1,1,1,1,0,0
F,Y,Y,0,68800.0,Pensioner,Higher education,Married,House / apartment,37.4,0.0,1,0,0,1,2,0
F,N,N,1,34600.0,Commercial associate,Secondary,Married,House / apartment,32.4,11.3,0,1,0,3,0,0
M,N,Y,1,84900.0,Working,Higher education,Married,House / apartment,39.6,0.8,0,1,1,3,1,0
F,N,N,1,61700.0,Commercial associate,Secondary,Widow,House / apartment,42.9,1.2,0,1,0,3,0,0
M,Y,Y,0,112300.0,Commercial associate,Secondary,Single,House / apartment,35.5,10.9,0,1,0,2,2,0
M,N,Y,1,46700.0,Pensioner,Incomplete higher,Married,House / apartment,44.4,0.0,1,1,1,2,2,1
F,N,Y,0,62500.0,Commercial associate,Secondary,Separated,House / apartment,38.4,6.7,0,1,0,2,3,0
M,N,N,1,34900.0,Working,Higher education,Single,House / apartment,54.0,2.1,1,0,0,3,0,1
F,N,N,1,108200.0,Commercial associate,Secondary,Married,House / apartment,45.6,,0,0,0,3,1,0
F,Y,Y,0,135000.0,Commercial associate,Secondary,Married,House / apartment,40.1,6.3,0,1,0,2,1,0
F,Y,Y,0,57300.0,Working,Secondary,Married,House / apartment,36.5,0.7,0,1,1,2,1,0
M,N,Y,0,66400.0,Working,Secondary,Married,Municipal apartment,48.8,5.1,0,1,0,1,1,0
M,N,Y,0,48800.0,Working,Secondary,Married,House / apartment,40.3,15.5,0,1,0,1,4,0
F,N,N,0,51200.0,Commercial associate,Secondary,Married,House / apartment,35.0,11.4,0,1,1,2,0,0
M,Y,Y,0,103400.0,Working,Secondary,Married,Rented apartment,32.0,11.4,1,1,1,2,0,0
F,N,Y,0,56800.0,Commercial associate,Higher education,Single,House / apartment,47.7,2.2,0,1,0,1,0,0
F,N,N,0,92700.0,State servant,Higher education,Married,House / apartment,34.8,7.2,0,1,0,1,0,0
F,N,Y,2,72600.0,Pensioner,Secondary,Single,House / apartment,36.7,0.0,0,0,0,4,2,0
M,N,N,0,106400.0,State servant,Secondary,Married,House / apartment,46.1,13.9,0,1,0,2,2,0
M,Y,N,0,60100.0,State servant,Secondary,Widow,House / apartment,51.8,1.8,0,1,0,1,1,0
F,Y,Y,2,125800.0,Working,Secondary,Married,House / apartment,46.5,8.6,0,1,1,3,0,0
M,N,Y,1,186800.0,Commercial associate,Secondary,Separated,House / apartment,49.4,1.6,1,1,1,3,0,0
M,N,Y,0,31300.0,Working,Secondary,Civil marriage,House / apartment,47.8,0.2,1,1,0,2,1,0
F,Y,N,0,69800.0,Pensioner,Academic degree,Single,House / apartment,40.1,0.0,0,1,1,2,0,0
F,Y,N,0,69800.0,Working,Higher education,Single,House / apartment,44.3,8.7,0,0,1,1,1,0
F,N,Y,1,51100.0,State servant,Secondary,Married,House / apartment,60.1,1.4,0,0,0,3,1,1
F,Y,Y,1,89700.0,Commercial associate,Secondary,Separated,House / apartment,37.8,0.3,0,1,1,2,0,0
M,N,Y,0,128100.0,Pensioner,Higher education,Married,House / apartment,28.0,0.0,1,1,0,2,2,0
